ID,TEMP,HUMIDITY,TOTAL_CLOUD_COVER,DEW_POINT,WEATHER_TYPE,AVG_WIND_SPEED,AVG_WIND_DIRECTION,GLOBAL_RADIATION,ZENITH,ELEVATION,AZIMUTH,TIMESTAMP,TARGET
0,13.4,88,7,11.5,-1,2.8,250,0.0,106.7,-16.7,351.11,2021-06-30 23:00:00+00:00,0.0
1,13.3,90,7,11.7,100,3.2,230,0.0,106.99,-16.99,5.52,2021-07-01 00:00:00+00:00,0.0
2,13.2,90,8,11.7,-1,3.2,240,0.0,104.88,-14.88,19.69,2021-07-01 01:00:00+00:00,0.0
3,13.0,88,8,11.1,-1,2.6,250,0.0,100.57,-10.57,33.12,2021-07-01 02:00:00+00:00,0.0
4,12.9,90,8,11.3,-1,2.7,250,0.0,94.42,-4.42,45.58,2021-07-01 03:00:00+00:00,0.0
5,12.8,89,8,11.0,-1,2.9,250,0.3,86.65,3.35,57.12,2021-07-01 04:00:00+00:00,0.0
6,12.5,92,8,11.3,123,2.8,250,3.0,78.19,11.81,68.01,2021-07-01 05:00:00+00:00,0.0
7,12.2,96,8,11.6,161,3.0,240,11.3,68.95,21.05,78.66,2021-07-01 06:00:00+00:00,0.0
8,12.9,92,8,11.6,123,2.6,250,28.3,59.34,30.66,89.66,2021-07-01 07:00:00+00:00,0.0
9,13.5,84,8,10.8,123,2.6,260,64.4,49.72,40.28,101.82,2021-07-01 08:00:00+00:00,0.0
10,14.3,82,8,11.3,123,2.8,280,82.5,40.58,49.42,116.46,2021-07-01 09:00:00+00:00,0.0
11,14.7,77,8,10.7,151,3.6,250,137.4,32.73,57.27,135.61,2021-07-01 10:00:00+00:00,0.0
12,13.7,80,8,10.4,123,3.8,280,48.8,27.63,62.37,161.33,2021-07-01 11:00:00+00:00,0.0
13,14.9,74,8,10.4,100,3.2,290,86.8,27.03,62.97,191.62,2021-07-01 12:00:00+00:00,0.0
14,16.4,71,7,11.0,123,3.3,270,128.3,31.2,58.8,218.89,2021-07-01 13:00:00+00:00,0.0
15,16.3,66,8,9.9,-1,3.4,260,150.9,38.56,51.44,239.46,2021-07-01 14:00:00+00:00,0.0
16,17.7,64,8,10.8,100,3.3,250,125.1,47.49,42.51,254.96,2021-07-01 15:00:00+00:00,0.0
17,17.2,60,8,9.3,-1,3.8,270,131.6,57.05,32.95,267.56,2021-07-01 16:00:00+00:00,0.0
18,17.0,63,8,9.9,-1,3.5,270,64.5,66.71,23.29,278.75,2021-07-01 17:00:00+00:00,0.0
19,16.9,65,8,10.3,100,2.4,280,32.6,76.07,13.93,289.42,2021-07-01 18:00:00+00:00,0.0
20,17.1,64,7,10.4,-1,2.3,270,34.2,84.77,5.23,300.21,2021-07-01 19:00:00+00:00,0.0
21,15.3,74,0,10.6,-1,1.6,270,7.5,92.78,-2.78,311.57,2021-07-01 20:00:00+00:00,0.0
22,13.4,84,8,10.8,-1,1.4,130,0.0,99.3,-9.3,323.79,2021-07-01 21:00:00+00:00,0.0
23,12.1,89,8,10.3,-1,1.3,110,0.0,104.1,-14.1,337.01,2021-07-01 22:00:00+00:00,0.0
